ind,lat,lon,4/3/18,4/7/18
S_FAGGRA_H04,42.47399697,-72.21430697,,
S_FAGGRA_H05,42.46653096,-72.21231502,,3
S_FAGGRA_H06,42.466006,-72.21330601,3,3
S_FAGGRA_H07,42.46715298,-72.21476697,3,9
S_FAGGRA_H08,42.46711903,-72.21476597,,3
S_FAGGRA_H09,42.46706103,-72.21476597,3,3
S_FAGGRA_H10,42.46706598,-72.21478902,3,3
S_FAGGRA_H11,42.46710001,-72.21469598,3,3
S_FAGGRA_H12,42.46591103,-72.212815,3,7
S_FAGGRA_H17,,,3,3
S_FAGGRA_H18,,,3,3
S_FAGGRA_H19,,,3,3
S_FAGGRA_H20,,,,3
S_FAGGRA_H21,,,3,
S_FAGGRA_H22,,,3,3
S_FAGGRA_H23,,,3,3
S_FAGGRA_H24,,,3,3
S_FAGGRA_H25,,,3,3
S_FAGGRA_H26,,,,7
S_FAGGRA_H30,,,,7
S_HAMVIR_H01,42.46856902,-72.21250101,,
S_HAMVIR_H02,,,3,3
S_HAMVIR_H03,,,3,7
S_HAMVIR_H04,42.46857304,-72.21254602,3,3
S_HAMVIR_H07,42.46733897,-72.21248701,3,3
S_HAMVIR_H08,42.46772303,-72.212701,,3
S_HAMVIR_H08,42.46654403,-72.21329796,6,9
S_HAMVIR_H09,42.46659399,-72.21321498,3,7
S_HAMVIR_H10,42.46662299,-72.21311901,,
S_HAMVIR_H11,42.46671704,-72.21319998,3,3
S_HAMVIR_H12,42.46644496,-72.213405,3,7
S_HAMVIR_H13,42.46624103,-72.21332797,3,7
S_HAMVIR_H14,42.46601396,-72.21401202,3,7
S_HAMVIR_H15,42.46672299,-72.21347004,3,7
S_HAMVIR_H16,42.46673799,-72.21348303,3,7
S_HAMVIR_H17,42.466768,-72.21349603,,
S_HAMVIR_H17,42.46662903,-72.213362,3,9
S_HAMVIR_H18,42.466668,-72.21344003,3,7
S_HAMVIR_H19,42.466639,-72.213406,3,7
S_HAMVIR_H20,42.46674797,-72.21368101,3,7-D?
S_HAMVIR_H21,42.467372,-72.21266404,,3
S_HAMVIR_H22,42.46731601,-72.21318698,,3
S_HAMVIR_H23,42.46739597,-72.21337399,,7
S_HAMVIR_H24,42.46747501,-72.21315103,,3
S_HAMVIR_H25,,,,7
S_VIBACE_H01,42.49907504,-72.21363802,,
S_VIBACE_H01,42.46851898,-72.21270402,7,
S_VIBACE_H02,42.46857396,-72.21264803,9,
S_VIBACE_H05,42.46836701,-72.21285397,,7
S_VIBACE_H06,42.468595,-72.21297601,7,
S_VIBACE_H07,42.46654797,-72.21292698,7,7
S_VIBACE_H08,42.46662701,-72.21285699,3,
S_VIBACE_H09,42.46674604,-72.21277602,7,9-D?
S_VIBACE_H10,42.46691301,-72.21299797,7,9
S_VIBACE_H11,42.46687696,-72.21284299,,X
S_VIBACE_H12,42.46640498,-72.21332897,7,9
S_VIBACE_H13,42.46630004,-72.21328396,,7
S_VIBACE_H14,42.46557198,-72.21304097,3,3
S_VIBACE_H15,42.46599301,-72.21313803,,9
S_VIBACE_H15,42.46627003,-72.21368797,3,
S_VIBACE_H16,42.46600298,-72.21315798,3,X
S_VIBACE_H16,42.46624103,-72.21362804,7,9
S_VIBACE_H17,42.466178,-72.21368898,7,9
S_VIBACE_H18,42.46621798,-72.21377397,7,9
S_VIBACE_H19,42.46619702,-72.21355302,7,7
S_VIBACE_H20,42.46618797,-72.21351396,7,7
S_VIBACE_H21,42.46630901,-72.21381697,,7
S_VIBACE_H22,42.466164,-72.21378503,3,3
S_VIBACE_H23,42.46604296,-72.21384396,,9-D
S_VIBACE_H24,42.46603902,-72.21393398,,
S_QUERUB_H01,,,3,3
S_QUERUB_H02,,,3,7
S_QUERUB_H03,,,3,3
S_QUERUB_H04,,,3,
S_QUERUB_H05,,,3,3
S_QUERUB_H06,,,3,3
S_QUERUB_H07,,,3,3
S_QUERUB_H08,,,3,3
S_QUERUB_H09,,,3,3
S_QUERUB_H10,,,3,3
S_QUERUB_H11,,,3,3
S_QUERUB_H12,,,3,3
S_QUERUB_H13,,,3,3
S_QUERUB_H14,,,3,3
S_QUERUB_H15,,,3,3
S_QUERUB_H16,,,3,3
S_QUERUB_H17,,,,3
