"ind","lat","lon","species","dbh"
"S_HAMVIR_H08",42.46654403,-72.21329796,"HAMVIR",""
"S_HAMVIR_H09",42.46659399,-72.21321498,"HAMVIR",""
"S_HAMVIR_H10",42.46662299,-72.21311901,"HAMVIR",""
"S_HAMVIR_H11",42.46671704,-72.21319998,"HAMVIR",""
"S_HAMVIR_H12",42.46644496,-72.213405,"HAMVIR",""
"S_HAMVIR_H13",42.46624103,-72.21332797,"HAMVIR",""
"S_HAMVIR_H14",42.46601396,-72.21401202,"HAMVIR",""
"S_HAMVIR_H15",42.46672299,-72.21347004,"HAMVIR",""
"S_HAMVIR_H16",42.46673799,-72.21348303,"HAMVIR",""
"S_HAMVIR_H17",42.466768,-72.21349603,"HAMVIR",""
"S_HAMVIR_H17",42.46662903,-72.213362,"HAMVIR",""
"S_HAMVIR_H18",42.466668,-72.21344003,"HAMVIR",""
"S_HAMVIR_H19",42.466639,-72.213406,"HAMVIR",""
"S_HAMVIR_H20",42.46674797,-72.21368101,"HAMVIR",""
"S_HAMVIR_H21",42.467372,-72.21266404,"HAMVIR",""
"S_HAMVIR_H22",42.46731601,-72.21318698,"HAMVIR",""
"S_HAMVIR_H23",42.46739597,-72.21337399,"HAMVIR",""
"S_HAMVIR_H24",42.46747501,-72.21315103,"HAMVIR",""
"S_ILEVER_H04",42.46694896,-72.21247603,"ILEVER",""
"S_ILEVER_H05",42.46697503,-72.21247997,"ILEVER",""
"S_ILEVER_H06",42.46829099,-72.21296797,"ILEVER",""
"S_ILEVER_H07",42.46852702,-72.21305799,"ILEVER",""
"S_ILEVER_H08",42.46651302,-72.21279798,"ILEVER",""
"S_ILEVER_H09",42.46673296,-72.21295296,"ILEVER",""
"S_ILEVER_H10",42.46535297,-72.21308003,"ILEVER",""
"S_ILEVER_H11",42.46564901,-72.21315002,"ILEVER",""
"S_ILEVER_H12",42.46569201,-72.21328396,"ILEVER",""
"S_ILEVER_H13",42.46608697,-72.21374203,"ILEVER",""
"S_ILEVER_H14",42.46612301,-72.21382602,"ILEVER",""
"S_ILEVER_H15",42.46628302,-72.21373298,"ILEVER",""
"S_ILEVER_H16",42.46654403,-72.21393197,"ILEVER",""
"S_ILEVER_H17",42.46713202,-72.21183901,"ILEVER",""
"S_ILEVER_H18",42.46735901,-72.21309897,"ILEVER",""
"S_ILEVER_H19",42.467343,-72.21299001,"ILEVER",""
"S_ILEVER_H20",42.46721199,-72.21463999,"ILEVER",""
"S_ILEVER_H21",42.46710998,-72.21475599,"ILEVER",""
"S_ILEVER_H22",42.46708601,-72.21509697,"ILEVER",""
"S_ILEVER_H23",42.46704703,-72.21525497,"ILEVER",""
"S_ILEVER_H24",42.46683497,-72.21499898,"ILEVER",""
"S_VIBACE_H01",42.49907504,-72.21363802,"VIBACE",""
"S_VIBACE_H01",42.46851898,-72.21270402,"VIBACE",""
"S_VIBACE_H02",42.46857396,-72.21264803,"VIBACE",""
"S_VIBACE_H05",42.46836701,-72.21285397,"VIBACE",""
"S_VIBACE_H06",42.468595,-72.21297601,"VIBACE",""
"S_VIBACE_H07",42.46654797,-72.21292698,"VIBACE",""
"S_VIBACE_H08",42.46662701,-72.21285699,"VIBACE",""
"S_VIBACE_H09",42.46674604,-72.21277602,"VIBACE",""
"S_VIBACE_H10",42.46691301,-72.21299797,"VIBACE",""
"S_VIBACE_H11",42.46687696,-72.21284299,"VIBACE",""
"S_VIBACE_H12",42.46640498,-72.21332897,"VIBACE",""
"S_VIBACE_H13",42.46630004,-72.21328396,"VIBACE",""
"S_VIBACE_H14",42.46557198,-72.21304097,"VIBACE",""
"S_VIBACE_H15",42.46599301,-72.21313803,"VIBACE",""
"S_VIBACE_H15",42.46627003,-72.21368797,"VIBACE",""
"S_VIBACE_H16",42.46600298,-72.21315798,"VIBACE",""
"S_VIBACE_H16",42.46624103,-72.21362804,"VIBACE",""
"S_VIBACE_H17",42.466178,-72.21368898,"VIBACE",""
"S_VIBACE_H18",42.46621798,-72.21377397,"VIBACE",""
"S_VIBACE_H19",42.46619702,-72.21355302,"VIBACE",""
"S_VIBACE_H20",42.46618797,-72.21351396,"VIBACE",""
"S_VIBACE_H21",42.46630901,-72.21381697,"VIBACE",""
"S_VIBACE_H22",42.466164,-72.21378503,"VIBACE",""
"S_VIBACE_H23",42.46604296,-72.21384396,"VIBACE",""
"S_VIBACE_H24",42.46603902,-72.21393398,"VIBACE",""
